ID,JMS_TIME,CREATED,UPDATED,BATCH_ID,ENTITY,GROUP,STATUS,STATUS_CODE_DYNAMICS,SOURCE_SYSTEM,LEGAL_ENTITY,EXEC_ID
116988,1.66E+12,9/5/2022 9:46,9/5/2022 9:47,0636f6dd-8b28-4016-9e6c-47d57262ece6,XRATES,XRATES,SUCCESS,NULL,INTEGRITY,DAT,XRATES-INTEGRITY-2022-09-05T09:46:16-B8696CB6A52647178332BC32AA000EC7
116989,1.66E+12,9/5/2022 9:46,9/5/2022 9:48,05261ffb-0770-4878-adb5-5165d54b2a2b,XRATES,XRATES,SUCCESS,NULL,INTEGRITY,DAT,XRATES-INTEGRITY-2022-09-05T09:47:32-F059B78806BF4727868135E7C6FF4F24
116990,1.66E+12,9/5/2022 9:46,9/5/2022 9:47,B-d8ac33a3-8a81-4f4b-a1d0-12e2908e1438,ORDER,ORDERCUST,SUCCESS,NULL,BOOST,1068,ORDER-BOOST-2022-09-05T09:46:18-7078E29B24CC4F3BB6A2F395F2502D22
116991,1.66E+12,9/5/2022 9:46,9/5/2022 9:48,B-b9deccac-cc91-4209-acbd-0a910da9d941,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T09:46:22-CECB1BB045CB448EAEC9C933678BE3A3
116994,1.66E+12,9/5/2022 9:52,9/5/2022 9:54,B-0ba55685-418f-4ead-880c-5e9282cb054c,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T09:52:16-CC166EC0CB46420B9291ABF55FC7CDEF
116995,1.66E+12,9/5/2022 9:52,9/5/2022 9:53,B-49cf8346-0b1a-4ef1-ba80-cb41e694eae7,ORDER,ORDERCUST,SUCCESS,NULL,BILBASEN,1068,ORDER-BILBASEN-2022-09-05T09:52:21-4EEA90B4656E4FDE8A654756402B80BA
116996,1.66E+12,9/5/2022 9:54,9/5/2022 9:55,B-ceca24ba-6c76-4ad8-a1d7-23f0f5fd752a,ORDER,ORDERCUST,SUCCESS,NULL,BILBASEN,1068,ORDER-BILBASEN-2022-09-05T09:54:16-563438E7D39E43F5A0E59B1277C32094
116999,1.66E+12,9/5/2022 9:56,9/5/2022 9:58,B-a96f4cad-b927-49e0-a0f1-a0de36245c7c,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T09:56:17-95811D736DAF4A059457891EC5F6AE3D
117002,1.66E+12,9/5/2022 10:02,9/5/2022 10:04,B-db200059-a984-4cd8-b2c4-068a07b9efa3,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T10:02:16-87198AB9F22147B2AB41C16D0201285D
117003,1.66E+12,9/5/2022 10:03,9/5/2022 10:05,B-23287df9-6011-4eab-9dc6-05e52507216a,ORDER,ORDERCUST,SUCCESS,NULL,DYNCRM,1036,ORDER-DYNCRM-2022-09-05T10:03:45-D328FE2C997B4FA3BAE755814477DB23
117004,1.66E+12,9/5/2022 10:04,9/5/2022 10:05,B-73a4a338-07ff-4381-a23d-4fb3fce31f2c,ORDER,ORDERCUST,SUCCESS,NULL,BILBASEN,1068,ORDER-BILBASEN-2022-09-05T10:04:16-DCBA63B52D154C508B629ACA763A865A
117005,1.66E+12,9/5/2022 10:04,9/5/2022 10:08,B-2e1600a1-2395-4acb-bb7d-d78f3ec935d3,ORDER,ORDERCUST,SUCCESS,NULL,DYNCRM,1036,ORDER-DYNCRM-2022-09-05T10:06:01-B42FC97D6C2D4FC79C9EBEBE5FF3FF97
117008,1.66E+12,9/5/2022 10:06,9/5/2022 10:08,B-5f4ab7bf-68e2-4815-9429-435816d483f6,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T10:06:15-E36C7074A844494A852EADCB27D9151C
117010,1.66E+12,9/5/2022 10:11,9/5/2022 10:12,51eb4275-73aa-4f85-b762-99d4597ab98d,GL,GL,SUCCESS,NULL,FIS_INT,1019,GL-FIS_INT-2022-09-05T10:11:16-FE67284525F3492387C25EB58087EFDE
117012,1.66E+12,9/5/2022 10:14,9/5/2022 10:16,B-6523109c-08c0-48a2-a020-b916511ee478,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T10:14:16-80D0A494EA364A709EA834B5ACA78767
117014,1.66E+12,9/5/2022 10:14,9/5/2022 10:18,B-1d66e251-eb44-4dd0-b12e-56271fe445d0,ORDER,ORDERCUST,SUCCESS,NULL,DYNCRM,1036,ORDER-DYNCRM-2022-09-05T10:16:15-E3606B8DF5A544E6B0D2B16D446C2B41
117015,1.66E+12,9/5/2022 10:15,9/5/2022 10:20,B-b45f8545-635c-49f4-ab09-82739d7713e8,ORDER,ORDERCUST,SUCCESS,NULL,DYNCRM,1036,ORDER-DYNCRM-2022-09-05T10:18:31-B9FCBFBF655B42C9AA32EAF8D13FE2DF
117017,1.66E+12,9/5/2022 10:16,9/5/2022 10:18,B-f9bc5f75-536c-41f2-b5f2-f51642a5fb55,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T10:16:30-990617E2F21B4D748D1CAF9E0E6A6593
117018,1.66E+12,9/5/2022 10:20,9/5/2022 10:24,B-6f31c484-01b9-4b5d-8674-f61e5d09eb22,ORDER,ORDERCUST,EXCEPTION,PartiallySucceeded,DYNCRM,1013,ORDER-DYNCRM-2022-09-05T10:22:16-A3BC8CAAB97F4656AA4881C506A49F4E
117020,1.66E+12,9/5/2022 10:22,9/5/2022 10:29,B-e7a630e5-3bb1-4444-bc80-d302635a3f3b,ORDER,ORDERCUST,SUCCESS,NULL,DYNCRM,1013,ORDER-DYNCRM-2022-09-05T10:26:45-C6CA4A2C2C874B7596B011CC85E4BD19
117021,1.66E+12,9/5/2022 10:22,9/5/2022 10:23,B-2c85d097-703e-4912-bf47-3af7bbad2cc8,ORDER,ORDERCUST,SUCCESS,NULL,BILBASEN,1068,ORDER-BILBASEN-2022-09-05T10:22:21-EDAC9F8EF7974E629CD82EBEB16CFA84
117024,1.66E+12,9/5/2022 10:23,9/5/2022 10:26,B-d33bfc71-375e-4179-b765-022fc65daaed,ORDER,ORDERCUST,SUCCESS,NULL,BLOCKET_JB,1001,ORDER-BLOCKET_JB-2022-09-05T10:25:01-AE42D29631644DBF8590F59948D15956
117026,1.66E+12,9/5/2022 10:26,9/5/2022 10:27,B-58afea2c-fa90-42b9-b202-e89b360c3d93,ORDER,ORDERCUST,SUCCESS,NULL,BILBASEN,1068,ORDER-BILBASEN-2022-09-05T10:26:16-44FF4FCC854E4D4EB309488644267877
117027,1.66E+12,9/5/2022 10:26,9/5/2022 10:28,B-3d9bd510-d24e-4566-8099-40a769c16967,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T10:26:20-EEF318C41C894D95A7A319BD9518AB56
117029,1.66E+12,9/5/2022 10:28,9/5/2022 10:30,B-6774d4ca-728f-4d22-86f7-8800cd1aa4c3,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T10:28:31-A05EFE618FBA4EB9BCBC20C48CB707F4
117030,1.66E+12,9/5/2022 10:28,9/5/2022 10:37,B-e1f3207d-fa9d-412d-aa8c-e001945a9616,ORDER,ORDERCUST,SUCCESS,NULL,DYNCRM,1036,ORDER-DYNCRM-2022-09-05T10:35:01-22071F1DF82744BEB1E050CE1EA41203
117031,1.66E+12,9/5/2022 10:30,9/5/2022 10:31,17ab9efd-18db-497e-ae5d-945d4b7ed3c3,GL,GL,SUCCESS,NULL,ARVATO,1004,GL-ARVATO-2022-09-05T10:30:16-C173634B8C374128B29DB54960784011
117032,1.66E+12,9/5/2022 10:30,9/5/2022 10:32,fd7880e1-6241-4d25-bffb-fe678faa91d8,GL,GL,SUCCESS,NULL,ARVATO,1022,GL-ARVATO-2022-09-05T10:31:16-A722F8014BA8438585FFBD2E50C13CFD
117033,1.66E+12,9/5/2022 10:30,9/5/2022 10:33,6484af8e-e38f-4a18-90fe-830eaaa55057,GL,GL,SUCCESS,NULL,ARVATO,1002,GL-ARVATO-2022-09-05T10:32:15-682735F61120484CBFC6A1BDB9858DDF
117034,1.66E+12,9/5/2022 10:30,9/5/2022 10:34,9274d01e-4466-4b3c-a28c-fb8f5888fb95,GL,GL,SUCCESS,NULL,ARVATO,1011,GL-ARVATO-2022-09-05T10:33:16-D5BCE8284D5342A0A23C29D2B6E4B2AD
117035,1.66E+12,9/5/2022 10:30,9/5/2022 10:35,193dfb15-d784-4fae-8331-5204b2b64d0a,GL,GL,SUCCESS,NULL,ARVATO,1000,GL-ARVATO-2022-09-05T10:34:16-BD2625E83F574FB79A0E98000EB05CAE
117036,1.66E+12,9/5/2022 10:30,9/5/2022 10:35,62922552-165b-4daf-b33b-ea7066f296c5,GL,GL,SUCCESS,NULL,ARVATO,1009,GL-ARVATO-2022-09-05T10:35:15-F0301ECFBA874EB09A7D6744485B504A
117037,1.66E+12,9/5/2022 10:30,9/5/2022 10:36,7c7e0680-17f5-4e03-95ce-3812b1190aea,GL,GL,EXCEPTION,PartiallySucceeded,ARVATO,1013,GL-ARVATO-2022-09-05T10:36:01-BA4F1C600E814BF5A4301C459A7DBD90
117038,1.66E+12,9/5/2022 10:30,9/5/2022 10:39,B-0f0de212-2daa-483c-9d2c-b00292ce4e15,ORDER,ORDERCUST,SUCCESS,NULL,DYNCRM,1036,ORDER-DYNCRM-2022-09-05T10:37:16-4BD53AB92CD041AD9F0BDBDBAB0737F7
117039,1.66E+12,9/5/2022 10:30,9/5/2022 10:37,8949b847-0f26-4218-971d-779a3cd09e4d,GL,GL,SUCCESS,NULL,ARVATO,1036,GL-ARVATO-2022-09-05T10:37:01-F203F0227BC644CE8D5782CFFC0F7439
117040,1.66E+12,9/5/2022 10:30,9/5/2022 10:38,1d476efb-4ab4-4658-8b2f-4271ca4abc8c,GL,GL,SUCCESS,NULL,ARVATO,1013,GL-ARVATO-2022-09-05T10:38:01-7264DB30DED94382BBC8001057FE1A97
117041,1.66E+12,9/5/2022 10:30,9/5/2022 10:39,4b58ff9d-9ccc-4582-9ae2-79aeea3e6f12,GL,GL,SUCCESS,NULL,ARVATO,1013,GL-ARVATO-2022-09-05T10:39:01-CAEB1D1AE88345C59C0AF599490AD24A
